name,contact,creditCard_number,creditCard_expirationDate,creditCard_cvv,billingAddress_street,billingAddress_city,billingAddress_state,billingAddress_zip,billingAddress_country,device_type,device_model,device_os,browser_name,browser_version,items_name,items_quantity,referrer,isFraudulent
Jaclyn Nguyen,(302)949-8723,2245570557635474,08/24,155,1807 Pena Lakes Suite 230,North Kennethside,Nebraska,04388,Bermuda,minute,street,through,need,2,fact,2,http://www.cooper-lowery.biz/,False
Rebekah Mcdonald,(814)995-9883x338,2233391310969769,11/33,910,7894 Kevin Summit Suite 003,Marissaside,Illinois,03031,Netherlands Antilles,mother,address,base,cover,6,behavior,3,https://www.goodman-king.com/,True
Ms. Heather Johnson MD,001-247-665-5980,2348773113674211,12/30,902,69603 Janet Springs Suite 346,New Kevin,Wisconsin,28892,Tanzania,community,determine,budget,mother,4,character,1,http://harris.org/,True
Mrs. Donna Jacobson,(401)329-4411x7803,2240560837217024,05/27,831,496 Lucas Ranch Suite 135,Lake Ianhaven,Alabama,94864,Maldives,collection,require,team,trial,1,free,3,https://www.miranda-garza.com/,False
Patrick Evans,(963)483-6514,2348965082994444,04/28,434,07645 Brad Causeway,South Susan,Colorado,04351,Malaysia,method,threat,lot,face,7,nation,3,https://gonzalez.com/,False
James Hayden,928-775-1546x27120,5279202028821283,02/25,661,57976 Jasmine Villages,South Gregoryton,New York,24513,Yemen,expect,join,say,real,6,three,5,https://www.lawson.net/,True
Alicia Dyer,5947920949,2720522259209011,03/31,303,19685 Vega Mall Suite 165,New Richard,Utah,85398,Israel,easy,move,idea,six,6,into,5,http://garrett-valentine.com/,False
Barry Melendez,989-607-8068x08916,5524147587213641,03/24,168,1081 Ronald Mews Suite 328,Edwardshaven,New Hampshire,98646,Tanzania,budget,imagine,feel,peace,4,market,4,https://monroe-hill.net/,True
Megan Reyes,001-203-755-6304x953,2230481456111939,04/32,868,429 Peters Point Apt. 020,Lauramouth,Illinois,76276,Italy,morning,quality,nation,time,2,interesting,5,http://www.martinez.biz/,False
Kathleen Salas,958.753.3169,5264153856180440,04/26,004,43243 Angel Glen,West Tiffanytown,Nebraska,08925,Yemen,anything,fact,huge,head,2,fly,2,https://baker.biz/,True
Brianna Shields,776.421.7518x7593,5230530165502870,06/31,754,77066 Harris Row Suite 886,Padillafurt,Wyoming,66716,Cayman Islands,south,hope,ten,quickly,6,stage,3,https://www.pacheco-jackson.com/,False
Dylan Ferguson,+1-661-567-7226x71007,5563266195460188,08/29,268,5284 Stevenson Ridges Apt. 358,Stephensonmouth,Florida,19816,Saint Martin,look,difference,case,investment,5,anyone,2,https://graham.net/,True
Alexander Hughes,583.542.9437,5464541351188389,11/30,837,73297 Ramos Tunnel Suite 173,Alexisview,North Dakota,39019,India,baby,system,gas,tend,3,interest,1,http://www.flores-hood.com/,True
Michael Bailey,+1-867-917-8882,2703736448491295,08/31,373,036 Sharon Island Suite 017,Port Charlesmouth,Hawaii,89163,Fiji,audience,case,how,attention,6,teach,5,https://www.woodard-blair.com/,True
Brian Mitchell,833.403.3788,2240066650489625,01/27,725,7107 Williamson Branch,East Vanessa,Mississippi,66861,Angola,same,forward,after,follow,5,trouble,1,http://stone.com/,False
Elijah Davidson,(516)278-3132,2455774184246946,09/31,214,6406 Rachael Hills,Josephville,Florida,01185,Yemen,pretty,sound,tend,several,2,set,1,http://obrien.info/,True
Jason Pena,794-572-2209x613,2246367313181102,08/24,048,27583 Jerry Cliff,Jamesview,West Virginia,76202,Azerbaijan,drive,lot,six,pass,1,former,5,https://www.jones.com/,True
Scott Merritt,(608)297-8572x1459,5355958226984895,07/26,154,289 Austin Point,New Lauren,Ohio,60747,Honduras,option,voice,movie,board,2,focus,3,https://shannon.com/,True
Mark Holt,887.290.5185,2230839534335335,01/26,339,0365 Daniel Springs Apt. 411,Cohenchester,Florida,44601,Hong Kong,article,really,receive,red,9,within,4,https://www.moss.info/,False
Melissa Johnson,6265781110,2287020155791153,03/27,288,69247 Jessica Plain,Mendozaton,Delaware,62902,Brunei Darussalam,policy,seven,one,bed,5,past,3,http://beck-carrillo.net/,True
Robert Blake,(639)320-3972,2279010682329544,04/33,471,822 Moss Grove,Tiffanyfort,Wyoming,45413,Svalbard & Jan Mayen Islands,there,degree,eight,have,3,buy,1,http://huang-williamson.com/,False
Christopher Mcdonald,845-269-9121x0702,2720588093069358,10/24,385,85372 Thomas Forest,West Teresamouth,Colorado,95961,Kyrgyz Republic,authority,will,by,choice,9,difference,2,http://www.davies.com/,False
Eric Lowe,307-210-1480,2710061824735509,02/32,323,5276 Roberts Walk,Rileyfort,Delaware,57267,Sao Tome and Principe,art,story,focus,mission,7,spring,5,https://www.ray.com/,False
Edward Wright,+1-556-814-1761x4987,5501554805448262,07/27,627,5845 Olson Gardens,Julieburgh,New Mexico,57384,Niue,provide,box,onto,truth,5,although,2,http://mckinney.org/,False
Nathaniel Robinson,+1-467-795-8810x8000,2506745060714255,04/30,895,55517 Bradley Street,Port Christina,Florida,65701,United Arab Emirates,teacher,try,purpose,hit,5,theory,1,http://carlson.org/,False
Anna Lee,+1-504-673-3069x023,5195309065582974,04/24,966,8752 Graves Groves,Melindamouth,Washington,09480,Zambia,law,thing,place,benefit,2,determine,2,http://chandler-potter.com/,False
Kristina Martin,473.217.2286x07539,5124106734446854,06/33,751,1571 Miller Groves,Lake Tracy,New Mexico,46744,Costa Rica,building,serious,walk,draw,1,option,3,http://nguyen-shepherd.net/,True
Christine Jones,367-991-2580,2293941972179276,12/28,753,953 Eric Ports Apt. 800,Garciamouth,Alabama,87079,Australia,forward,last,only,bad,1,hand,4,http://johnson-smith.biz/,False
Jessica Villarreal,(526)238-3435,5184828695278987,01/26,147,50542 Julie Ranch,Dominiquefurt,South Dakota,50271,Chile,large,religious,as,under,3,between,4,http://smith.com/,False
Elizabeth Mcclain,001-302-938-1753x1534,2714899877840114,05/30,335,92204 Jose Cove,South Erin,Arkansas,04121,Italy,above,present,site,that,5,possible,4,http://www.smith.info/,False
Wesley Wise,9214303678,2291146890486207,04/25,208,46820 Kenneth Path,South Loganfurt,North Dakota,54164,Madagascar,measure,watch,range,network,7,yard,3,https://nolan.com/,False
James Garcia,(507)436-3079,2239225886623943,09/27,279,949 Fowler Key Suite 745,Laurastad,Louisiana,70285,Barbados,key,both,through,art,9,central,5,http://burgess.com/,True
Justin Harrison,(463)674-4645,2240001825425790,11/26,324,1615 Davis Fall,New Kurtstad,Massachusetts,24305,Cocos (Keeling) Islands,about,data,industry,area,5,popular,5,https://www.charles-valdez.com/,True
Angel Lee,+1-462-417-7321x97837,2291639244352547,08/30,727,89992 Edward Parkway,West Courtney,Alabama,36165,Bahrain,sea,stuff,institution,inside,2,relationship,4,https://west.com/,True
Randy Lucas,(551)739-5550x837,2719914334668126,04/31,351,25190 Johnson Garden,New Amyville,Tennessee,14109,Papua New Guinea,interesting,car,for,work,1,specific,3,http://www.molina.com/,True
Gregory Miller,+1-260-861-9731x2660,2259694567953819,04/27,441,8386 Matthew Spring,Port Mathewview,Vermont,40118,Northern Mariana Islands,year,product,fund,measure,5,compare,4,https://lewis-clark.info/,False
Christopher Lee,204.996.3970,2372512573022704,11/28,346,9829 Ashley Forges Suite 874,Port Daniellestad,New Mexico,66785,Aruba,college,save,brother,above,8,black,2,https://thomas.com/,False
Julie Matthews,+1-300-998-0884x49679,2224036418910741,03/30,892,25548 Brown Dam Apt. 067,West Jason,New Hampshire,05500,Italy,carry,should,blood,away,2,factor,1,https://www.perry-sullivan.biz/,True
Crystal Lee,(871)816-3948,2708593645693065,11/29,692,4247 Rodriguez Green Suite 271,Robertville,New Mexico,81360,Cuba,claim,offer,stop,garden,8,glass,4,https://robinson.com/,False
Cody Harrison,(261)793-9599x560,2265050610851751,04/33,569,796 Chambers Stream Suite 772,Dominguezshire,Alabama,39510,Iraq,past,exactly,stay,couple,2,eat,5,https://reese-austin.com/,False
Katherine Cunningham,(606)686-8864,5279490566052078,05/27,718,99627 Meyer Plaza,East David,West Virginia,49195,Congo,garden,summer,mention,without,9,home,5,https://adkins-morton.biz/,False
Joshua Lopez,(931)264-1923,5184492315291555,08/33,134,35796 John Crossing Suite 907,Port Amy,Indiana,77997,Australia,within,whatever,similar,share,7,hour,5,http://guzman.org/,False
Kathryn Cox,852.543.0293,2300707942641492,09/26,974,24925 Beasley Square Suite 100,Carolinebury,Virginia,90768,French Guiana,foreign,yourself,hotel,within,2,probably,3,http://marsh.com/,True
Javier Walsh,(581)970-5384x1741,2268513006020544,04/25,825,3012 Jennifer Cliff Apt. 384,Contrerasside,Wisconsin,16225,United States Minor Outlying Islands,owner,lot,she,chair,8,remain,1,http://wright.com/,True
Michael Alexander,501-444-4464,2670546137950108,07/24,891,216 Jerry Station Apt. 454,Leefurt,Nevada,43864,Timor-Leste,happy,particularly,sit,professor,9,put,3,http://www.johnson-arroyo.org/,True
Jennifer Parker,(458)207-6010x56857,5191176119391361,05/33,954,0847 Troy Lodge Apt. 454,Hayesview,Florida,53163,Niger,challenge,subject,fall,media,9,culture,5,http://www.williams-stark.org/,True
William James,502.344.8946,2720367115685073,02/33,090,70865 Castillo Parkway,Michaelton,North Dakota,45632,Nepal,time,camera,color,next,6,debate,5,http://chan.com/,False
Leonard Bennett,(204)737-8718x16061,2435137087268315,03/29,130,783 Clark Extensions,East William,Maryland,05751,French Southern Territories,avoid,site,growth,significant,6,media,5,https://ruiz-castillo.com/,True
Jesus Rodriguez,(428)665-4591,5565491852718466,02/31,832,1276 Burgess Valley,Sandrachester,Tennessee,20564,Micronesia,race,particularly,production,view,2,doctor,1,http://www.williams-mcdowell.org/,False
Jennifer Mcintyre,748-584-5299,2720378578416559,03/26,035,111 Tyler Ford,Mendozatown,South Dakota,47720,Timor-Leste,plan,cold,argue,role,8,much,4,https://www.wolf.info/,False
Michael Perez,001-735-778-0868x1447,2704716757476102,12/31,394,88734 Parks Roads Apt. 803,Alexanderchester,Mississippi,65867,Somalia,plan,two,trade,surface,8,bank,2,https://pacheco-holland.com/,False
Lisa Nguyen,001-979-492-8962x6307,2263996293057524,06/27,984,25315 Rodriguez Circles Apt. 593,Port Joshua,Oklahoma,82651,Guam,miss,price,near,scientist,8,visit,1,http://morris.biz/,True
Bradley Johnson,+1-498-461-8879,5561644056338226,07/33,325,67756 Ashlee Ridge Suite 482,Kingfurt,Washington,60472,Philippines,leg,fall,option,range,6,tonight,1,http://www.thompson.com/,True
Mitchell Torres,786-919-1734x923,5512761593358036,01/27,258,2848 Kristen View Suite 880,Collinsborough,Kansas,98991,South Africa,meet,challenge,cup,top,7,until,1,https://daniels-chen.biz/,False
Shawn Parrish,+1-407-927-7597x52716,2720636829941281,04/28,106,8652 Amanda Walk,North Erin,Nevada,32690,Jordan,inside,company,friend,who,2,act,3,http://www.barnes.com/,False
Scott Nash MD,(609)237-7949x60534,2423102996991120,04/33,771,76908 Owens Views Apt. 467,New Jacobview,Ohio,78344,Kazakhstan,behavior,young,nature,action,1,be,2,http://robinson-flynn.com/,False
Jimmy Pacheco,314-317-6943,2554192551088934,06/32,803,3150 Zamora Wells,West Lesliemouth,Texas,36358,Bahrain,around,majority,current,of,6,manager,3,https://harris.com/,True
Amy Simon,945-204-1259x00241,5527957514308158,07/31,776,99381 Jenkins Station,East Maryshire,Georgia,03770,Qatar,past,few,sense,conference,9,garden,1,http://smith.biz/,False
David Wood,+1-290-476-5230x273,5442822722541465,07/25,111,3522 Michael Cape Apt. 318,West Juliemouth,Missouri,42827,Cote d'Ivoire,picture,information,involve,kitchen,3,subject,4,https://cain.com/,True
Anthony Delgado,354.576.7046x3363,5319129243228758,06/28,898,338 Thornton Crest Apt. 660,Nancyborough,North Carolina,21056,Paraguay,media,level,word,cup,8,determine,4,http://clark.com/,False
Brent Kirby,+1-851-654-9522,5483103104345548,05/26,074,769 Williams Run Apt. 425,Lake Kathryn,Washington,05973,Tunisia,office,despite,full,source,5,specific,5,https://gay-carlson.com/,True
Mr. Travis Gonzalez Jr.,937-931-3198x9230,2242407232721929,12/26,690,78853 Bell Squares,Anthonyfort,New Jersey,49182,Philippines,baby,give,option,enter,6,art,5,https://www.schneider.com/,True
Wendy Butler,+1-896-738-5383,2283196987692852,07/32,152,2724 Johnson Mews Apt. 542,Nathanport,Missouri,69984,Azerbaijan,likely,account,picture,full,1,grow,1,https://smith.net/,False
Deborah Hogan,001-713-686-0914x23901,5346942596715651,07/27,915,47976 Jones Common,Jamiechester,Indiana,67821,Switzerland,now,there,role,consumer,6,firm,2,http://www.young.com/,True
Calvin Butler,001-467-354-7742,2592916685677368,11/28,303,98406 Fields Mountains,Josemouth,Arizona,04952,South Georgia and the South Sandwich Islands,change,guess,Republican,against,3,actually,1,https://www.scott-smith.com/,True
David Valdez,001-562-579-8356x6778,5404935851225571,10/30,069,3838 Silva Knolls,West Sally,Idaho,01946,French Southern Territories,executive,identify,network,adult,3,rest,2,http://huff.com/,False
Joseph Foster,+1-617-238-3731x1671,5529376783971869,09/30,979,97132 Katrina Gateway,Charlesland,Connecticut,92702,Comoros,offer,race,sense,ago,6,history,3,http://rodgers-johnson.info/,False
Tamara Baker,001-270-437-5099x562,2262004955235511,07/33,122,443 Moore Garden Suite 525,Port Jasonchester,New Hampshire,13879,Latvia,since,talk,culture,sing,3,movie,3,http://fowler-jones.org/,False
Kevin Mcintosh,544-259-7154x5913,2244425889662392,02/29,685,34684 Sutton Common,Jasminefort,North Carolina,65147,Syrian Arab Republic,collection,Congress,teacher,word,3,almost,3,http://allison.org/,False
Cynthia Sanchez,899-332-1318x9501,5569997764581012,10/29,991,6959 Donald Manors Apt. 635,Chadfort,California,98370,Solomon Islands,wind,appear,wife,performance,1,contain,1,http://www.nelson-reyes.com/,True
Christopher Prince,+1-853-259-8065,2335424851785406,09/26,201,5770 Alejandra Cape Apt. 808,South Pamelaborough,Ohio,67345,Lesotho,skin,every,anything,human,3,tonight,2,https://turner.com/,False
Joseph Campbell,001-643-706-4005,2285062360092763,10/31,371,3000 Charles Lights,Port Amandabury,Ohio,66750,Egypt,send,floor,mouth,kid,4,many,5,http://collins.com/,False
Clinton Cordova,(296)210-8472,2236809226849517,03/33,154,368 Andrew Wells,East Thomasshire,New Jersey,67279,Portugal,prove,yourself,walk,hold,9,model,1,https://www.washington-mitchell.com/,False
Sharon Crane,455-573-0824x816,5566812211389674,08/30,114,802 Gregory Field Apt. 054,West Jessicastad,Kentucky,60670,Myanmar,itself,federal,while,who,9,sign,4,https://hebert-harris.com/,True
Jordan Kline,841-912-8994x2578,5578522227404096,05/24,089,362 Lisa Island Suite 302,South Tylerberg,Massachusetts,29388,Peru,size,respond,edge,everything,4,add,2,http://whitehead.com/,True
Ryan Thompson,918.723.7698,2655508839476674,12/26,619,720 Miller Lake,North Meganport,Vermont,78688,Paraguay,sing,court,either,build,9,military,3,https://www.silva.com/,False
Gregory Martinez,001-614-767-3403x3409,5557658465559210,05/33,208,2170 Thomas Track Apt. 155,South Erikachester,Louisiana,54530,Niger,south,ever,American,similar,3,run,2,http://www.gomez.com/,True
Jessica Reynolds,001-202-734-4389x3272,5238206858433168,02/29,968,04298 Powell Fords Apt. 008,West Harold,Nevada,33313,Slovenia,couple,family,change,behavior,5,explain,3,https://www.jackson-wheeler.info/,False
Raymond Thompson,392.956.4006,2702363127284874,12/25,211,04938 Frank Ridge,Angelachester,Arizona,18470,Martinique,lawyer,garden,agreement,painting,5,value,4,http://ramos.info/,True
Stephanie Ramos,+1-690-668-2917x198,2295258441731795,12/30,063,48648 Kelly Forest,Garciatown,Illinois,26526,Svalbard & Jan Mayen Islands,stand,own,attack,contain,2,former,5,http://www.cox.biz/,False
Tracey Jimenez,001-566-516-0010,5269962436424762,11/30,303,993 Coleman Drives Apt. 327,Lake Laurachester,Florida,07459,Niue,same,edge,field,think,5,like,1,http://www.bowman.com/,False
Christian Massey,382.751.0591x58872,2261767661553325,09/29,351,621 Kevin Mall,Francesmouth,Oregon,54520,Azerbaijan,social,music,plan,throw,8,page,4,http://www.boyle.biz/,True
Sarah Noble,640.566.3057x500,2295589354400733,10/27,093,0729 Joshua Tunnel Apt. 673,Port Randy,Rhode Island,96720,United Arab Emirates,young,generation,may,support,7,toward,1,https://gonzales.com/,False
Edwin Burns,504-499-3005x9221,2529038001389186,05/31,705,777 May Haven Suite 913,West David,Colorado,39705,Chile,population,moment,ready,difficult,4,heart,5,https://www.dean-perez.com/,True
Kyle Boone,956-253-7117,2374854566884874,05/27,369,961 Anderson Greens Suite 354,Cameronside,Virginia,82027,Korea,continue,lot,institution,range,2,despite,1,https://www.lang-grant.info/,True
Tracey Deleon,9238296231,2423644016541542,04/30,878,1830 William Extensions,Keithchester,Wisconsin,59112,Dominican Republic,suffer,wait,according,how,4,memory,1,http://www.irwin.org/,True
Patricia Adkins,983-856-6377x5875,5410428189489756,01/28,239,077 Ryan Coves Apt. 100,Simmonsfort,West Virginia,80234,Madagascar,surface,least,goal,almost,7,film,3,https://ayala.com/,True
Gregory Hunter,235.383.3148,5522829215257379,08/28,321,501 Stokes Stream Suite 510,Lisafort,Florida,03924,Iran,wrong,mind,thing,door,9,offer,1,https://harrison.com/,True
Joe Faulkner,+1-531-514-7499,2720830548160691,12/27,151,45529 Victor Cove Suite 623,Blackwellmouth,Indiana,73108,Haiti,of,name,himself,happen,1,theory,5,http://www.powell.com/,True
Vicki Garrison,(418)391-2230,2251726317079152,02/31,342,2944 Parsons Squares,Port Daniel,Nevada,32147,Ecuador,west,beat,must,speech,6,sign,1,http://www.sullivan.com/,False
Randy Martin,(453)825-2162x6378,2286137685029259,02/33,391,6604 Miller Stream,Russellbury,New Hampshire,74164,Saint Pierre and Miquelon,health,mission,indeed,second,5,community,4,http://www.serrano.com/,False
Stephanie Rogers,350.824.6131x31775,5102066914423543,04/24,770,8656 Roy Common,North Crystalview,Alabama,70129,Moldova,box,team,feeling,ever,4,stock,2,https://www.rowe.com/,False
Jacqueline Williams,001-964-949-5163x7592,2268312329324562,07/24,356,8070 Scott Skyway,North Sarah,Arkansas,35015,Qatar,similar,other,pick,recognize,2,kid,5,http://wang.com/,True
Theresa Martinez,9662051869,5161354004852781,11/25,416,6987 Bryce Courts,Lake Dawn,Rhode Island,25341,Jordan,we,plan,fact,pay,2,relate,4,https://www.jones.com/,True
Andrew Adams,(635)745-8370x0622,2604053876574158,01/26,533,97143 Shawn Trail Apt. 254,New Katherinemouth,Kentucky,18187,Cuba,size,visit,alone,some,9,painting,3,https://www.brown.com/,True
Hannah Johnson,001-539-816-7975,2259180893954978,09/28,695,4657 Eric Trail Apt. 962,Port Melanie,Washington,11655,Cuba,gas,energy,have,cost,7,player,3,http://www.jones.com/,False
Lindsey Harris,+1-236-997-9435x11857,2501066241021899,01/27,803,96672 Robert Crossroad Apt. 863,Richardborough,Hawaii,05562,Serbia,lead,its,political,real,6,drug,4,https://gomez.com/,False
Garrett Robinson,937-437-1702x441,2720702626261925,03/25,580,08494 Charles Mews,New Taylorside,California,78658,British Indian Ocean Territory (Chagos Archipelago),necessary,stop,hour,trial,3,air,3,https://www.wang.com/,True
Molly Warren,(507)397-8926x52426,2275176524635671,06/29,231,588 Hickman Views,Poolestad,Hawaii,70164,China,me,affect,rich,fly,8,forget,4,http://parrish-marshall.com/,False
Rebecca Lambert,(427)666-4789,5183006843947479,08/24,403,7182 Sims Neck Apt. 782,East Brandon,Connecticut,77903,Malaysia,stage,stop,dog,some,5,name,5,http://www.garrison.com/,True
Heather Kennedy,(684)803-9129x9677,2233762191895333,05/26,862,20399 Martin Locks Apt. 265,Hallstad,New Mexico,45512,Micronesia,pretty,reality,form,book,5,certainly,4,http://thompson.com/,False
Matthew Garcia,982-900-7157x672,2576720695696370,08/29,850,8237 Johnston Summit,Steveland,Wisconsin,97739,South Africa,foreign,identify,positive,measure,8,floor,2,https://foster.com/,True
Nicole Sullivan,639.861.9796x5326,5409676011646901,06/32,115,0503 Medina Overpass Suite 851,Harrischester,Massachusetts,15778,Morocco,lot,sense,money,often,5,glass,2,https://carr.com/,False
Kevin Montgomery,(840)280-7060,2712676154987525,01/29,483,07747 Stephanie Lakes,Jonathanbury,Wisconsin,23715,Saint Helena,writer,best,boy,evidence,8,entire,1,http://richardson-johnson.org/,False
Jennifer White,424.883.8497x67496,2239041483514892,03/25,869,6630 Matthew Islands Apt. 977,Port Brittany,Connecticut,22530,Cocos (Keeling) Islands,give,understand,up,leader,5,million,5,https://watson-johns.com/,True
Rachel Malone,217.801.2393x9980,2227320202514571,12/25,438,0996 Rios Rue Apt. 096,Scottborough,Hawaii,99041,Jamaica,best,price,newspaper,reason,5,especially,4,http://www.brown-moreno.com/,True
Corey Harris,001-532-773-2796x955,2258108637815560,08/31,207,853 Greg Walk,Porterside,Idaho,29681,Nauru,our,tree,key,according,7,concern,3,https://www.harris.info/,False
Jason Smith,001-402-545-0612x1802,2290413426735122,05/33,046,55664 Barnes Bypass Suite 562,New Amystad,Rhode Island,77012,Burundi,edge,appear,these,leg,1,policy,3,https://jones-mcfarland.com/,False
Chelsea Larsen,+1-532-676-9581x9283,2278978920126453,05/28,001,763 Gonzales Row Apt. 396,Jimenezberg,Michigan,34163,Sierra Leone,scientist,painting,southern,audience,1,yet,3,http://www.mcguire.info/,True
Allison Strickland,867.299.8309,2264716789850599,04/24,599,158 David Mountains,Baileytown,Alaska,91692,Turks and Caicos Islands,reason,bar,today,little,4,study,5,http://miller.com/,False
Patricia Anderson,9193990982,5347254075881718,02/33,205,78528 Kelly Drive Apt. 632,Lake Kathleenhaven,South Dakota,56220,Christmas Island,tend,culture,society,measure,8,body,4,https://pitts.com/,False
Michael Gardner,(787)221-4317x7702,5142902724919720,06/32,168,36393 Foster Roads Apt. 971,Meganborough,Illinois,09850,Serbia,large,federal,nice,Mr,4,help,1,https://snyder.biz/,True
Michelle Wallace,001-756-712-9344,5384002442281813,11/32,654,6753 Briggs Avenue,Thompsonfurt,Pennsylvania,55911,American Samoa,north,raise,month,nothing,2,sure,2,https://boyd.com/,False
Jose Ewing DDS,645.372.3465x43766,2263383815883200,11/25,182,13817 Marilyn Garden,Keithburgh,Arizona,53908,Austria,pay,house,after,father,4,great,5,http://nelson.com/,True
Glenn Hayes,(590)566-2637,2284569373378931,06/26,129,205 Haynes Villages,Lake Patricia,Indiana,98638,Aruba,let,yourself,throw,simple,9,police,1,http://santana-green.com/,True
Craig Vasquez,412.930.6890x74115,2560779909763192,05/26,268,4264 Huff Forks,Mikefurt,Oklahoma,39955,Djibouti,now,cover,author,manager,7,heavy,3,https://donovan.org/,True
Jennifer Vincent,301.309.2546,2221243786533971,12/32,851,7367 Justin Ville Suite 414,New Christopherville,Idaho,85252,Sweden,response,discover,foreign,hear,7,imagine,5,https://gomez.com/,False
Sara Duncan,968.939.6272,2708977347680654,01/31,853,1944 Hernandez Oval,Rodriguezbury,Pennsylvania,78613,French Polynesia,than,government,kind,friend,4,any,5,http://phillips.com/,False
Tina Ramirez,541.469.8901,2280947563946929,12/31,684,23270 Wilson Place,South Jeffrey,Idaho,89658,Sri Lanka,stock,program,low,act,5,morning,4,https://www.brown-williams.info/,False
Kimberly Montoya,568-596-5338,2426913550694182,08/25,133,042 Rachel Points,Denisehaven,Hawaii,47912,Moldova,western,focus,value,issue,9,family,5,http://www.perkins.biz/,True
Alexander Garcia,672-348-2494,2297396036796597,06/28,533,8993 Jared Plains Suite 161,Daniellefurt,Hawaii,50877,Reunion,fire,within,sell,relate,7,attack,4,http://smith.info/,False
Marcus Richardson,958-356-0370x5455,2522054947466324,01/31,378,8912 Richard Unions Suite 795,Whitakerstad,Washington,60446,Togo,specific,author,stand,price,2,either,5,https://www.roman-hines.net/,True
Ryan Carson,593.785.4674x525,2427246166800201,10/30,032,714 Katelyn Land Suite 105,Carrchester,Connecticut,58740,Congo,president,spend,collection,around,5,medical,5,https://www.phelps.com/,False
Kevin Stanley,203-990-0783,2251731791944624,04/26,109,1471 Sanchez Forest Suite 709,Markshire,Michigan,64082,Senegal,color,near,hair,special,1,call,4,http://www.perez.net/,False
Jessica Parsons,683.392.8308x953,2707743668765750,01/28,488,6370 Diana Lodge Suite 292,Lake John,Wisconsin,03335,Qatar,phone,grow,national,need,7,four,1,https://harris.com/,False
Mandy Luna,(711)506-1615x3516,2258506279702790,05/26,014,678 Alexander Lodge,West Cynthia,Arizona,64530,New Zealand,television,recognize,mother,discover,6,establish,2,https://www.coleman-leonard.com/,True
Richard Miller,795.455.2340,2231733606283425,01/32,003,392 Welch Track Apt. 805,East Melinda,New Jersey,47493,South Africa,big,simple,cost,environmental,2,there,1,https://www.henry-murphy.org/,False
Melissa Parker,9018491751,5590435109195068,03/26,209,6792 Laura Views Apt. 651,East Kathryn,Nebraska,72109,Martinique,different,contain,forward,fire,1,travel,1,https://www.browning.org/,False
Julia Hogan,541.799.3691,5247851447184233,10/24,472,3723 Mullins Key Suite 797,Lawrenceborough,Indiana,73032,Comoros,exist,five,north,draw,3,exactly,3,https://www.nguyen.net/,True
Mrs. Katelyn Waller,+1-782-468-2027x52377,2262458727966516,11/25,571,921 Barbara Track Suite 626,East Danielle,Alaska,49151,Gabon,beyond,large,south,amount,6,condition,3,http://www.fields.info/,True
John Murphy,9628510330,5545594651587985,12/33,805,2610 Brown Knolls,Lake Rebecca,West Virginia,18562,French Polynesia,professor,shoulder,artist,great,7,include,3,https://walker.com/,False
Jeffrey Castillo,760.768.6692,2371259513106921,05/29,226,2188 Garner Burg,Cunninghambury,Kentucky,41170,Togo,interesting,maybe,too,better,8,figure,2,https://leblanc.com/,True
Nicholas Smith,001-248-771-6874,2271240556816155,10/30,366,1218 Avila Harbors,Barrhaven,Delaware,10092,Reunion,deep,blue,with,least,5,blue,5,http://cunningham.org/,True
James Wells,+1-218-635-4945x39011,2436966469570578,10/28,239,67935 Lauren Pass Apt. 685,West Christian,Oregon,85297,Bermuda,interest,throughout,seven,response,6,collection,4,https://green.com/,True
Joanna Gutierrez,336.811.4725x45622,2560885599676857,07/32,593,228 Kaitlyn Station,North Julie,Wyoming,47563,Turks and Caicos Islands,data,decide,provide,will,6,detail,3,https://www.johnson.com/,False
Anthony Hernandez,204-618-2823,2293506933573568,12/26,582,69080 Jones Hill Suite 361,Michaelfurt,Vermont,89630,Japan,short,camera,leg,any,8,most,2,https://www.fitzgerald.org/,False
Anthony Hayes,259.547.1876x048,2718068244786410,08/24,523,135 Shelby Mountains Suite 384,Dawnfort,North Carolina,90191,Syrian Arab Republic,rate,foreign,last,down,9,difference,3,http://www.williams.net/,True
Dr. David Miller,237.252.3743,2624666489028423,09/25,643,210 Fowler Park Suite 016,South Nicholas,Louisiana,73508,Bouvet Island (Bouvetoya),throughout,study,decade,step,9,art,5,http://mitchell.com/,False
Michael Carr,(480)741-9877x6057,2291231226545148,04/29,150,6394 Clark Crossing Apt. 638,Lewischester,Alabama,51047,Lebanon,message,though,within,investment,3,chair,4,https://valdez.com/,False
Mr. Jonathan Ortega,(430)502-3151x71387,2221363995021269,12/27,523,836 Cynthia Viaduct,Littleborough,Wisconsin,05672,Tanzania,store,able,person,office,2,compare,5,http://www.juarez.info/,True
Melissa Cox,875.639.9017x868,2720098224321892,05/27,286,143 Cook Overpass Apt. 808,Grantmouth,Massachusetts,78531,Mayotte,something,industry,lead,wait,7,wish,5,https://www.grant.info/,False
Michael Lee,(463)878-8462,5480411020752934,10/32,313,015 Cole Tunnel,Angelafort,Utah,28987,Ethiopia,sign,garden,minute,question,9,step,3,http://www.price.biz/,True
Anna Spencer,+1-207-607-5722,2291945061350286,02/28,609,8183 Stephanie Square Apt. 883,North Dakota,Wyoming,65158,Guinea,agreement,music,decision,visit,6,none,5,http://craig-horn.com/,True
